pk,id,name,parent_id
491,1486,Детали пневмосистемы грузовых автомобилей,67
492,1492,Детали салона автомобиля,67
493,1500,Детали трансмиссии транспорта,67
494,1502,Детали ходовой,67
495,1862,Запчасти для землеройной спецтехники,67
496,1911,"Запчасти к автобусам, троллейбусам",67
497,1912,"Запчасти к автотракторной, сельскохозяйственной спецтехнике",67
498,1913,Запчасти к грузоподъемной спецтехнике,67
499,1915,Запчасти к коммунально-уборочной технике,67
500,1922,Запчасти тормозной системы,67
501,2788,"Кондиционеры и комплектующие для кондиционеров, отопления, охлаждения",67
502,3025,"Кузова, кабины, рамы",67
503,3028,Кузовные запчасти,67
504,4422,Органы управления,67
505,5095,Предпусковые подогреватели и автономные отопители,67
506,5558,Ремкомплекты автомобильные,67
507,5860,Световые приборы транспорта,67
508,5963,Система выпуска отработавших газов,67
509,5966,Система охлаждения двигателя,67
510,5967,Система очистки окон и фар автомобиля,67
511,5969,Система питания двигателя,67
512,7380,"Фильтры для авто-, мото- и грузовой техники",67
513,7858,Электрооборудование автомобилей,67
514,7860,Электрооборудование для грузовых автомобилей,67
515,1421,Двигатели для техники,1422
516,1481,"Детали двигателя, общее",1422
517,4948,Подушки двигателя,1422
518,5247,Прокладки для техники,1422
519,5560,Ремни вариаторные,1422
520,5566,Ремни приводные автомобильные,1422
521,5688,Ролики и натяжители,1422
522,5787,Сальники,1422
523,6977,"Турбины, турбокомпрессоры",1422
524,7701,Шкивы двигателей,1422
525,1485,"Детали мостов и привода трансмиссии, общее",1484
526,1816,Задний мост,1484
527,2296,Карданная передача,1484
528,2297,Карданные валы,1484
529,3736,Муфты карданного вала,1484
530,3737,Муфты свободного хода,1484
531,4652,Передний мост,1484
532,5401,Раздаточные коробки,1484
533,5485,Редукторы мостов,1484
534,6180,Средний мост,1484
535,7645,"Шарниры равных угловых скоростей, приводные валы",1484
536,136,Автомобильные ремни и подушки безопасности,1492
537,564,Бардачки и перчаточные ящики,1492
538,1493,"Детали салона автомобиля, общее",1492
539,4271,"Обшивки дверей, багажника, потолков, накладки салона",1492
540,5716,Рули,1492
541,5723,Ручки КПП и ручника,1492
542,5944,Сиденья автомобильные,1492
543,6875,"Торпедо, накладки на торпедо, воздуховоды",1492
544,838,Валы для коробки передач и редуктора,1500
545,1501,"Детали трансмиссии, общее",1500
546,2863,Коробки переключения передач (КПП),1500
547,5959,Синхронизаторы коробки передач,1500
548,7386,Фильтры трансмиссионные,1500
549,7671,Шестерни трансмиссии,1500
550,7877,Элементы механизма сцепления,1500
551,125,Автомобильные опоры стоек,1502
552,148,Автомобильные шкворни,1502
553,310,"Амортизаторы, стойки, подушки стоек",1502
554,538,Балки передней и задней подвески,1502
555,1135,Втулки автомобильные,1502
556,1504,"Детали ходовой, общее",1502
557,2960,Крепежи узлов подвески,1502
558,4859,"Пневморессоры, пневмоподушки",1502
559,4869,Поворотные кулаки,1502
560,4952,Подшипники для транспорта,1502
561,5352,"Пружины, рессоры для техники",1502
562,5377,"Пыльники, отбойники",1502
563,5747,"Рычаги, тяги",1502
564,5781,Сайлентблоки,1502
565,6265,"Стабилизаторы, тяги стабилизатора, стойки стабилизатора",1502
566,6471,Ступицы,1502
567,6472,"Ступичные болты, шпильки и гайки",1502
568,6876,Торсионы,1502
569,7646,Шаровые опоры,1502
570,1863,"Запчасти для землеройной спецтехники, общее",1862
571,1364,Грудинки отвала сельхозтехники,1912
572,1391,Гусеницы для техники,1912
573,1608,Диски на бороны,1912
574,1638,Долото к сельхозтехники,1912
575,1843,"Запасные части к автотракторной, сельскохозяйственной спецтехнике, общее",1912
576,1846,Запасные части к комбайнам,1912
577,1847,Запасные части к тракторам,1912
578,1856,"Запчасти для баровых, грунторезных машин",1912
579,2640,Комплектующие для сельскохозяйственной техники,1912
580,2862,Коробки отбора мощности,1912
581,3182,Лемехи плуга,1912
582,3954,Ножи к сельхозтехнике,1912
583,4462,Отвалы,1912
584,4680,Перья отвала сельхозтехники,1912
585,4985,Полевые доски к сельхозтехники,1912
586,5020,Полосы отвала сельхозтехники,1912
587,5350,Пружины для сельхозтехники,1912
588,5423,Распылители,1912
589,5559,Ремкомплекты гидроцилиндров,1912
590,7575,Цепи для сельхозтехники,1912
591,7670,Шестерни и звездочки для сельхозтехники,1912
592,699,Бортовые весы,1913
593,7837,Электромагниты,1913
594,1497,Детали тормозной системы грузовиков,1922
595,1499,"Детали тормозных систем ABS, EBD",1922
596,2707,Комплектующие тормозной системы,1922
597,6866,Тормозные барабаны,1922
598,6867,Тормозные диски,1922
599,6869,Тормозные колодки,1922
600,6871,"Тормозные суппорта, ремкомплекты суппорта",1922
601,6873,Тормозные цилиндры,1922
602,6874,"Тормозные шланги, трубы",1922
603,7104,Усилители тормозов,1922
604,7880,"Элементы тормозной системы, общее",1922
605,114,"Автомобильные комплектующие для кондиционеров, отопления, охлаждения, общее",2788
606,115,Автомобильные кондиционеры,2788
607,672,Блоки управления кондиционером,2788
608,1482,Детали для автокондиционеров,2788
609,2703,Комплектующие системы отопления,2788
610,2753,Компрессоры кондиционера,2788
611,2784,Конденсаторы кондиционера,2788
612,545,Бамперы для грузовых автомобилей,3025
613,1377,Грузовые решетки на бамперы и радиаторы,3025
614,2232,Кабины и рамы для грузовых автомобилей,3025
615,2994,Кронштейны грузовых автомобилей,3025
